service_center,appointment_type,channel,scheduled_date,technician_utilization_pct,outcome_status
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-04-13,100.0,Rescheduled
"Austin, TX",Tire Rotation,Mobile Service,2026-04-13,98.4,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,79.6,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-04-13,60.3,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-13,55.2,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,85.5,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-13,75.2,Rescheduled
"Austin, TX",Brake Fluid/Caliper Service,Collision Center,2026-04-13,62.6,Completed
"Austin, TX",Alignment,Mobile Service,2026-04-13,72.0,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-04-13,96.8,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,95.8,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-04-13,55.7,Rescheduled
"Fremont, CA",Alignment,Service Center,2026-04-13,62.1,Completed
"Seattle, WA",12V Battery Service,Collision Center,2026-04-13,100.0,Completed
"Chicago, IL",Alignment,Mobile Service,2026-04-13,53.8,Cancelled
"Austin, TX",Alignment,Service Center,2026-04-13,85.0,Cancelled
"Fremont, CA",Alignment,Mobile Service,2026-04-13,67.3,Cancelled
"Chicago, IL",Alignment,Service Center,2026-04-13,75.6,Completed
"Denver, CO",12V Battery Service,Mobile Service,2026-04-13,75.2,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-04-13,51.4,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-04-13,75.2,Rescheduled
"Chicago, IL",Alignment,Mobile Service,2026-04-13,73.9,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,94.1,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-04-13,79.5,Cancelled
"Seattle, WA",Alignment,Service Center,2026-04-13,87.1,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-04-13,85.2,Cancelled
"Chicago, IL",Tire Rotation,Service Center,2026-04-13,85.5,Completed
"Seattle, WA",Collision Repair,Service Center,2026-04-13,46.8,Cancelled
"Toronto, ON",Alignment,Service Center,2026-04-13,75.2,Completed
"Seattle, WA",Collision Repair,Collision Center,2026-04-13,75.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Collision Center,2026-04-13,84.2,Rescheduled
"Chicago, IL",Tire Rotation,Service Center,2026-04-13,82.2,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-04-13,48.2,Rescheduled
"Toronto, ON",Tire Rotation,Service Center,2026-04-13,68.1,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-04-13,56.0,Rescheduled
"Chicago, IL",Collision Repair,Service Center,2026-04-13,100.0,Rescheduled
"Fremont, CA",12V Battery Service,Mobile Service,2026-04-13,75.4,Completed
"Fremont, CA",Collision Repair,Service Center,2026-04-13,78.2,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-13,81.8,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-04-13,61.8,Rescheduled
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,100.0,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-13,38.5,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-13,79.3,Completed
"Austin, TX",Collision Repair,Collision Center,2026-04-13,86.1,Completed
"Denver, CO",Collision Repair,Service Center,2026-04-13,94.8,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-04-13,64.1,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-04-13,79.9,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-04-13,61.2,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,63.0,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-04-13,77.9,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-13,67.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-13,90.7,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-13,62.9,Cancelled
"Denver, CO",Alignment,Service Center,2026-04-13,61.7,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-04-14,54.4,Cancelled
"Toronto, ON",12V Battery Service,Mobile Service,2026-04-14,83.8,Completed
"Chicago, IL",Alignment,Mobile Service,2026-04-14,81.0,Completed
"Chicago, IL",Alignment,Service Center,2026-04-14,53.3,Completed
"Fremont, CA",Collision Repair,Collision Center,2026-04-14,75.5,Rescheduled
"Austin, TX",Tire Rotation,Service Center,2026-04-14,53.5,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-14,100.0,Cancelled
"Fremont, CA",12V Battery Service,Mobile Service,2026-04-14,72.4,Completed
"Denver, CO",Collision Repair,Service Center,2026-04-14,78.6,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-04-14,58.4,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-14,99.2,Cancelled
"Toronto, ON",Tire Rotation,Service Center,2026-04-14,87.0,Completed
"Seattle, WA",Alignment,Service Center,2026-04-14,89.6,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,78.6,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-14,68.4,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-04-14,72.1,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-04-14,86.4,Cancelled
"Austin, TX",Collision Repair,Service Center,2026-04-14,99.1,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-04-14,90.6,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,63.1,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-04-14,68.4,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-04-14,59.0,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,90.4,Rescheduled
"Seattle, WA",Collision Repair,Mobile Service,2026-04-14,71.8,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-04-14,90.4,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-04-14,62.5,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-04-14,84.7,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-14,66.7,Completed
"Chicago, IL",Alignment,Service Center,2026-04-14,70.8,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,91.9,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-04-14,87.6,Rescheduled
"Austin, TX",Warranty Repair,Mobile Service,2026-04-14,66.2,Rescheduled
"Seattle, WA",Warranty Repair,Service Center,2026-04-14,100.0,Completed
"Denver, CO",12V Battery Service,Service Center,2026-04-14,68.2,Cancelled
"Seattle, WA",Tire Rotation,Service Center,2026-04-14,91.5,Cancelled
"Fremont, CA",Alignment,Service Center,2026-04-14,77.3,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-14,72.3,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,84.6,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-04-14,100.0,Completed
"Toronto, ON",Alignment,Mobile Service,2026-04-14,87.9,Cancelled
"Austin, TX",Alignment,Service Center,2026-04-14,66.3,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-14,70.1,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-04-14,66.1,Completed
"Austin, TX",Warranty Repair,Collision Center,2026-04-14,91.4,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-04-14,84.1,Rescheduled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-14,80.7,Cancelled
"Toronto, ON",Collision Repair,Service Center,2026-04-14,73.0,Completed
"Denver, CO",Warranty Repair,Service Center,2026-04-14,89.3,Rescheduled
"Fremont, CA",12V Battery Service,Mobile Service,2026-04-14,84.9,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-14,74.9,Cancelled
"Austin, TX",Tire Rotation,Service Center,2026-04-14,61.3,Completed
"Seattle, WA",12V Battery Service,Mobile Service,2026-04-14,94.0,Cancelled
"Toronto, ON",Tire Rotation,Service Center,2026-04-14,79.0,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,34.8,Completed
"Austin, TX",Alignment,Mobile Service,2026-04-15,74.0,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,71.7,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-15,77.9,Completed
"Toronto, ON",Collision Repair,Service Center,2026-04-15,94.5,Completed
"Seattle, WA",12V Battery Service,Mobile Service,2026-04-15,87.8,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-04-15,84.1,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-15,60.0,Completed
"Fremont, CA",Alignment,Service Center,2026-04-15,80.0,Completed
"Fremont, CA",Alignment,Service Center,2026-04-15,54.9,Cancelled
"Chicago, IL",Tire Rotation,Service Center,2026-04-15,98.0,Rescheduled
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,44.8,Cancelled
"Denver, CO",Warranty Repair,Mobile Service,2026-04-15,94.4,Completed
"Austin, TX",Collision Repair,Service Center,2026-04-15,73.9,Completed
"Austin, TX",Warranty Repair,Service Center,2026-04-15,98.4,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-04-15,72.9,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,73.9,Rescheduled
"Austin, TX",Alignment,Mobile Service,2026-04-15,100.0,Cancelled
"Austin, TX",Tire Rotation,Service Center,2026-04-15,62.0,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-04-15,95.4,Rescheduled
"Seattle, WA",Alignment,Service Center,2026-04-15,100.0,Completed
"Fremont, CA",Tire Rotation,Service Center,2026-04-15,75.4,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-04-15,93.1,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-15,94.2,Rescheduled
"Denver, CO",Tire Rotation,Service Center,2026-04-15,71.8,Completed
"Toronto, ON",Alignment,Service Center,2026-04-15,74.2,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-04-15,65.5,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,69.2,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-04-15,60.1,Completed
"Denver, CO",Tire Rotation,Service Center,2026-04-15,59.3,Rescheduled
"Fremont, CA",Warranty Repair,Service Center,2026-04-15,87.8,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-04-15,73.5,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,89.1,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-15,74.1,Rescheduled
"Toronto, ON",Collision Repair,Mobile Service,2026-04-15,66.4,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-15,78.9,Completed
"Fremont, CA",Tire Rotation,Collision Center,2026-04-15,93.5,Rescheduled
"Austin, TX",Cabin/HEPA Filter Replacement,Collision Center,2026-04-15,33.3,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,75.8,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-04-15,63.6,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-04-15,76.7,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-04-15,74.2,Completed
"Austin, TX",Tire Rotation,Service Center,2026-04-15,99.0,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-04-15,58.0,Cancelled
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,56.3,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-04-15,75.4,Completed
"Denver, CO",12V Battery Service,Mobile Service,2026-04-15,89.9,Rescheduled
"Toronto, ON",12V Battery Service,Service Center,2026-04-15,74.2,Cancelled
"Austin, TX",12V Battery Service,Service Center,2026-04-15,72.5,Cancelled
"Toronto, ON",Warranty Repair,Mobile Service,2026-04-15,88.6,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-04-15,45.6,Completed
"Toronto, ON",Alignment,Service Center,2026-04-16,63.7,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-04-16,64.6,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-04-16,100.0,Completed
"Toronto, ON",Alignment,Mobile Service,2026-04-16,63.1,Completed
"Fremont, CA",Alignment,Service Center,2026-04-16,96.3,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,76.5,Rescheduled
"Austin, TX",Tire Rotation,Mobile Service,2026-04-16,81.8,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-16,94.8,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-04-16,71.9,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-04-16,74.8,Rescheduled
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,92.0,Cancelled
"Austin, TX",Tire Rotation,Mobile Service,2026-04-16,85.8,Completed
"Toronto, ON",Collision Repair,Collision Center,2026-04-16,87.5,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-04-16,66.8,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,95.0,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,83.5,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-04-16,58.7,Completed
"Fremont, CA",Alignment,Service Center,2026-04-16,69.5,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,93.9,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-16,78.2,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-04-16,72.5,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-04-16,60.5,Completed
"Denver, CO",Tire Rotation,Service Center,2026-04-16,73.9,Completed
"Denver, CO",12V Battery Service,Service Center,2026-04-16,71.1,Completed
"Toronto, ON",Collision Repair,Service Center,2026-04-16,81.0,Cancelled
"Seattle, WA",Collision Repair,Service Center,2026-04-16,67.2,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-04-16,40.0,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-04-16,71.6,Completed
"Chicago, IL",Alignment,Service Center,2026-04-16,100.0,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-04-16,97.2,Rescheduled
"Denver, CO",Alignment,Service Center,2026-04-16,78.8,Cancelled
"Chicago, IL",Alignment,Service Center,2026-04-16,42.8,Rescheduled
"Austin, TX",Alignment,Mobile Service,2026-04-16,100.0,Rescheduled
"Chicago, IL",Tire Rotation,Mobile Service,2026-04-16,83.5,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-04-16,70.7,Completed
"Chicago, IL",Collision Repair,Service Center,2026-04-16,98.2,Completed
"Chicago, IL",Alignment,Service Center,2026-04-16,86.0,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-04-16,76.4,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-04-16,79.3,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-04-16,79.1,Completed
"Denver, CO",Alignment,Service Center,2026-04-16,67.9,Completed
"Toronto, ON",Collision Repair,Mobile Service,2026-04-16,75.9,Completed
"Chicago, IL",Tire Rotation,Mobile Service,2026-04-16,91.1,Cancelled
"Toronto, ON",Alignment,Collision Center,2026-04-16,65.6,Completed
"Toronto, ON",Warranty Repair,Service Center,2026-04-16,46.7,Cancelled
"Austin, TX",12V Battery Service,Mobile Service,2026-04-16,89.7,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-04-16,88.7,Rescheduled
"Seattle, WA",Warranty Repair,Service Center,2026-04-16,63.1,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-04-16,98.4,Cancelled
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-04-16,70.2,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-16,73.9,Completed
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-04-16,71.1,Cancelled
"Chicago, IL",Collision Repair,Service Center,2026-04-16,69.8,Rescheduled
"Denver, CO",12V Battery Service,Mobile Service,2026-04-16,55.8,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-04-16,71.9,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-04-16,78.0,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-04-16,75.5,Rescheduled
"Toronto, ON",Tire Rotation,Service Center,2026-04-16,67.5,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-04-17,51.1,Completed
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-04-17,86.0,Rescheduled
"Austin, TX",Alignment,Service Center,2026-04-17,79.7,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-04-17,61.9,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-04-17,68.7,Completed
"Denver, CO",12V Battery Service,Service Center,2026-04-17,88.8,Cancelled
"Fremont, CA",Warranty Repair,Service Center,2026-04-17,76.1,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-04-17,64.8,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-04-17,83.8,Completed
"Chicago, IL",Collision Repair,Service Center,2026-04-17,33.2,Completed
"Denver, CO",Alignment,Mobile Service,2026-04-17,73.0,Completed
"Toronto, ON",Alignment,Collision Center,2026-04-17,77.3,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-17,69.2,Rescheduled
"Seattle, WA",Warranty Repair,Mobile Service,2026-04-17,88.1,Rescheduled
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-04-17,55.6,Cancelled
"Austin, TX",Alignment,Service Center,2026-04-17,83.7,Cancelled
"Toronto, ON",Tire Rotation,Mobile Service,2026-04-17,93.0,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-04-17,88.5,Rescheduled
"Denver, CO",Tire Rotation,Service Center,2026-04-17,80.9,Completed
